,time,ema(4),high low span,high above ema,close above ema,close relative to high,volume change,volume relative to span,to buy,Prediction
4842,0.53,0.9994215870000001,0.002070393,0.0026488059999999996,0.0005784130000000001,0.002070393,-0.36688503100000003,-0.005643166999999999,0.00310559,0.0013654735374999999
4843,0.54,0.997796441,0.003095975,0.002203559,0.002203559,0.0,-0.928382245,-0.003334807,0.0020639829999999997,0.0017304161452380948
4844,0.55,0.9983691090000001,0.0030943790000000004,0.00317808,0.001630891,0.001547189,0.160854345,0.019237146,0.002578649,0.0012582213503246754
4845,0.56,0.998404236,0.00309119,0.0031413590000000003,0.001595764,0.001545595,-0.231470343,-0.013354584,0.000515198,0.0017109363385714282
4846,0.57,1.000279594,0.003097574,0.002301718,-0.00027959400000000003,0.002581311,0.154771803,0.020013811,0.002581311,0.0007418892952380952
4847,0.58,0.999858072,0.003095975,0.002205911,0.000141928,0.0020639829999999997,0.376403208,0.008225155999999999,0.001031992,0.0009176359725120772
4848,0.59,0.999605449,0.00103146,0.00091028,0.000394551,0.00051573,-0.677623022,-0.001522173,0.001547189,0.0011292050482804232
4849,0.6,0.999454113,0.002061856,0.001576815,0.000545887,0.001030928,0.259289807,0.007951935,0.001030928,0.0007569466038492064
4850,0.61,1.000291325,0.0020639829999999997,0.0017726579999999999,-0.000291325,0.0020639829999999997,-0.493644959,-0.0041811090000000006,0.002579979,0.0021124205758333335
4851,0.63,0.999791028,0.00257833,0.002147876,0.000208972,0.001938904,0.344073965,0.007493533,0.0009075719999999999,0.0010073999314539628
4852,0.64,1.000258437,0.002579979,0.00128955,-0.00025843700000000003,0.001547988,-0.043820143,-0.058876562,0.001031992,0.0006206209589068826
4853,0.65,0.999536346,0.001030928,0.00046365400000000003,0.00046365400000000003,0.0,-0.20985261800000002,-0.004912628,0.0041237109999999995,0.0013043037266564756
4854,0.66,0.9972588840000001,0.00513347,0.0027411159999999996,0.0027411159999999996,0.0,0.6430233320000001,0.007983334,0.0,0.001519166541666667
4855,0.44,1.005100294,0.007827789,-0.00265411,-0.005100294,0.002446184,-0.196439705,-0.039848302,0.0,0.003339384111904762
4856,0.45,1.01456983,0.020940111,0.004515585,-0.01456983,0.019085416,0.028764724,0.727978859,0.005623916,0.001583331069047619
4857,0.46,1.006540387,0.012419275,-0.004553304,-0.006540387,0.001987084,-0.30923351600000004,-0.040161477,0.008445107,0.003610072961904762
4858,0.47,1.000049102,0.009871668,0.001925232,-4.91e-05,0.001974334,-0.61656986,-0.016010623999999998,0.005923001,0.003984065866666666
4859,0.48,0.9985522840000001,0.007877893,0.004894294,0.0014477160000000002,0.003446578,0.173075852,0.045516995,0.007385524,0.0025545407857142854
4860,0.49,1.000604048,0.009871570999999999,0.009257652,-0.000604048,0.009861699,0.13383441599999998,0.073759584,-9.87e-06,0.002149080985555556
4861,0.5,1.002151628,0.005940594,0.000818669,-0.002151628,0.002970297,-0.29697256899999996,-0.020003848,0.0014851489999999998,0.001634560616190476
4862,0.51,1.004282474,0.007462687,0.002185188,-0.0042824740000000005,0.006467662,-0.480277456,-0.015538281999999999,0.0039801,0.0022425506383333335
4863,0.52,1.000776123,0.003968254,0.00021594099999999998,-0.000776123,0.000992063,-0.256767877,-0.015454636,0.005952381,0.0017893164975
4864,0.53,1.002557889,0.009955202,0.006899553,-0.002557889,0.009457442,0.435748831,0.022846192,0.0024888,0.0033351134972222224
4865,0.54,1.001534733,0.004977601,0.000954067,-0.001534733,0.0024888,-0.352366291,-0.014126211999999999,0.008461920999999999,0.0011278857376190478
4866,0.55,0.996172823,0.008888889,0.004321004,0.003827177,0.000493827,0.081511334,0.10905095599999999,0.0024691360000000002,0.0026739341383333333
4867,0.56,0.998294602,0.004943154,0.005165605,0.001705398,0.0034602079999999998,-0.16297055,-0.030331577000000002,0.008403361,0.0024952163249999998
4868,0.57,0.9942766,0.008827857,0.0062138359999999995,0.005723399999999999,0.000490436,0.35402871399999997,0.024935426,0.000490436,0.0016541906700000002
4869,0.58,0.9992108340000001,0.004926108,0.005715274,0.0007891660000000001,0.004926108,-0.496073525,-0.009930198000000001,0.004926108,0.00514712175
4870,0.59,0.9971731090000001,0.005888126,0.003808245,0.0028268909999999998,0.000981354,-0.2605692,-0.022597167,0.004906771,0.0017799054198076921
4871,0.6,0.9957780940000001,0.005570105,0.00488641,0.004221906,0.0006645039999999999,0.509676658,0.010928704,0.0006645039999999999,0.001102138415
4872,0.61,0.998531359,0.006852668,0.003916022,0.0014686410000000001,0.002447381,-0.452588838,-0.015141044,0.000489476,0.0020122587423076926
4873,0.63,1.000588685,0.0039254170000000005,0.002355378,-0.000588685,0.002944063,-0.671291518,-0.0058475590000000004,0.005888126,0.004356514520833334
4874,0.64,0.9997646290000001,0.005882353000000001,0.005137331,0.00023537099999999998,0.004901961,0.741502227,0.007933021,0.001960784,0.0025499838682539683
4875,0.65,1.001332632,0.006879606999999999,0.0030899720000000003,-0.001332632,0.004422604,-0.7011660759999999,-0.009811665,0.0004914,0.002291211317857143
4876,0.66,1.003468482,0.006910168,0.0014673529999999998,-0.003468482,0.004935834,-0.213859854,-0.032311664,0.004935834,0.004197619195238096
4877,0.44,0.998902974,0.004388103,0.003534861,0.001097026,0.002437835,0.38372156799999996,0.011435643999999998,0.0039005359999999996,0.0038478380374999998
4878,0.45,0.9990497079999999,0.0053606240000000005,0.0043615979999999995,0.0009502919999999999,0.003411306,-0.944000808,-0.0056786219999999995,0.003898635,0.0023486267783333335
4879,0.46,0.997682216,0.0048590859999999994,0.003289602,0.002317784,0.0009718169999999999,0.317555358,0.015301542,0.008746356,0.0016606964015140415
4880,0.47,0.996580145,0.00968523,0.008746730999999999,0.003419855,0.005326877,0.008628253,1.12250191,0.008232446,0.0021255111466666667
4881,0.48,0.9956405209999999,0.008683068,0.008701013,0.004359479,0.004341534,0.233802282,0.037138508,0.004341534,0.002916422658333334
4882,0.49,0.99480196,0.004803074,0.00519804,0.00519804,0.0,-0.701326903,-0.006848552,0.000960615,0.0018583788949999998
4883,0.5,0.9986062659999999,0.003853565,0.005247299,0.001393734,0.003853565,-0.132476108,-0.029088751,0.0019267820000000001,0.0020619527293506495
4884,0.51,0.99916376,0.0033718690000000004,0.002763023,0.00083624,0.0019267820000000001,-0.16711849199999998,-0.020176516000000002,0.0009633910000000001,0.0012398913232142858
4885,0.52,1.002108553,0.007740687,0.003213169,-0.002108553,0.005321721999999999,-0.116335071,-0.066537863,0.002418965,0.001995782197142857
4886,0.53,1.000393733,0.0038647340000000003,0.000572451,-0.000393733,0.0009661839999999999,-0.107777709,-0.035858382,0.0009661839999999999,0.0012901707517171718
